Fuel Loadings = tons / acre

Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,>3_Snd,>3_Rot,3_<6_DC1,6_<9_DC1,9_<12_DC1,12_<20_DC1,>20_DC1,3_<6_DC2,6_<9_DC2,9_<12_DC2,12_<20_DC2,>20_DC2,3_<6_DC3,6_<9_DC3,9_<12_DC3,12_<20_DC3,>20_DC3,3_<6_DC4,6_<9_DC4,9_<12_DC4,12_<20_DC4,>20_DC4,3_<6_DC5,6_<9_DC5,9_<12_DC5,12_<20_DC5,>20_DC5,3_<6_Snd,6_<12_Snd,12_<20_Snd,20_<35_Snd,35_<50_Snd,50>_Snd,3_<6_Rot,6_<12_Rot,12_<20_Rot,20_<35_Rot,35_<50_Rot,50>_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
"PSME-02",3,"01Post",0.107762946686846,0.391743653927535,0,0.499506600614381,4.53743342954968,0,0,0,0,0,0,0,0,0,0,0,2.81523046077179,1.72220296877789,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81523046077179,1.72220296877789,0,0,0,0,0,0,0,0,0,0,5.03694003016406,5.290725,1.92163125,12.2492962801641,0.53,0.385,0.915,0
"PSME-02",4,"01Year01",0.102324691269293,0.627665772508951,0.930854610512817,1.66084507429106,6.67807793319057,0.764724923046822,0,0,0,0,0,0,0,0,0,0,2.4898353954588,1.00710139004658,3.18114114768519,0,0,0.764724923046822,0,0,0,0,0,0,0,0,0,2.4898353954588,4.18824253773177,0,0,0,0,0.764724923046822,0,0,0,0,0,9.10364793052845,5.01620625,2.782621875,16.9024760555285,0.5025,0.5575,1.06,0
"PSME-02",6,"01Year10",0.13227772562106,2.8710124497827,3.46717980641083,6.47046998181458,1.55534593374058,2.90510016359591,0,0,0,0,0,0,0,0,0,0,0.697224039263019,0.858121894477562,0,0,0,0.540795568915547,0,2.36430459468037,0,0,0,0,0,0,0,0.697224039263019,0.858121894477562,0,0,0,0,0.540795568915547,2.36430459468037,0,0,0,0,10.9309160791511,0.02495625,1.035684375,11.9915567041511,0.0025,0.2075,0.21,0
"PSME-02",7,"01Year20",0.041277369033239,2.10948216636008,3.1530180020781,5.30377753747142,5.01335472197313,28.8972522639261,0,0,0,0,0,0,0,0,0,0,1.10035277913987,3.91300194283327,0,0,0,0.379251843759655,2.05875202317911,8.90966300184079,9.21036519372416,8.33922020142237,0,0,0,0,0,1.10035277913987,3.91300194283327,0,0,0,0,0.379251843759655,10.9684150250199,9.21036519372416,8.33922020142237,0,0,39.2143845233706,2.67031875,1.79685,43.6815532733706,0.2675,0.36,0.6275,0
"PSME-03",0,"00PR01",0.652881334179695,3.55506902013946,4.13273544440873,8.34068579872789,2.29319165048526,10.4657006856256,0,0,0,0,0,0,0,0,0,0,2.29319165048526,0,0,0,0,1.3172363393948,1.32669825797525,0,7.8217660882556,0,0,0,0,0,0,2.29319165048526,0,0,0,0,0,1.3172363393948,1.32669825797525,7.8217660882556,0,0,0,21.0995781348388,28.67473125,5.76489375,55.5392031348388,2.8725,1.155,4.0275,0
"PSME-03",1,"00PR02",0.368879548616267,5.68670489297679,2.98255221910518,9.03813666069824,1.80641434274542,9.08367364798877,0,0,0,0,0,0,0,0,0,0,1.80641434274542,0,0,0,0,1.29960399210512,2.71185415794253,2.323365029298,2.74885046864312,0,0,0,0,0,0,1.80641434274542,0,0,0,0,0,1.29960399210512,5.03521918724053,2.74885046864312,0,0,0,19.9282246514324,11.30518125,5.81480625,37.0482121514324,1.1325,1.165,2.2975,0
"PSME-03",2,"01Pre",0.764207498872792,3.4671060318343,0.952512238852956,5.18382576956005,19.7607974496377,18.6804021861391,0,0,0,0,0,0,0,0,0,0,3.35050417722401,2.39698449711964,2.7639547041151,11.2493540711789,0,0.534691663792208,2.51734716640831,0,15.6283633559385,0,0,0,0,0,0,3.35050417722401,5.16093920123475,11.2493540711789,0,0,0,0.534691663792208,2.51734716640831,15.6283633559385,0,0,0,43.6250254053368,8.26051875,5.852240625,57.7377847803368,0.8275,1.1725,2,0
"PSME-03",3,"01Post",0,0,0,0,4.35550180549345,3.02130417013975,0,0,0,0,0,0,0,0,0,0,1.71812418983643,2.63737761565702,0,0,0,0,0,0,3.02130417013975,0,0,0,0,0,0,1.71812418983643,2.63737761565702,0,0,0,0,0,0,3.02130417013975,0,0,0,7.3768059756332,0,0.099825,7.4766309756332,0,0.02,0.02,0
"PSME-03",4,"01Year01",0.00406725941263073,0,0.642754071665847,0.646821331078478,2.39693968326395,0,0,0,0,0,0,0,0,0,0,0,1.34734274232905,1.04959694093491,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34734274232905,1.04959694093491,0,0,0,0,0,0,0,0,0,0,3.04376101434243,0,0.037434375,3.08119538934243,0,0.0075,0.0075,0
"PSME-03",6,"01Year10",0.0411003246086665,1.01673846343374,0.718351827599515,1.77619061564192,4.86264552640114,5.06845220792498,0,0,0,0,0,0,0,0,0,0,1.28820065625157,0.995023693481437,2.57942117666813,0,0,0,0,2.54167227976028,2.5267799281647,0,0,0,0,0,0,1.28820065625157,3.57444487014957,0,0,0,0,0,2.54167227976028,2.5267799281647,0,0,0,11.707288349968,0.898425,1.52233125,14.128044599968,0.09,0.305,0.395,0
