Fuel Loadings = tons / acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,ThSound,ThRotten,ThousandHourDc1Sz1,ThousandHourDc1Sz2,ThousandHourDc1Sz3,ThousandHourDc1Sz4,ThousandHourDc1Sz5,ThousandHourDc2Sz1,ThousandHourDc2Sz2,ThousandHourDc2Sz3,ThousandHourDc2Sz4,ThousandHourDc2Sz5,ThousandHourDc3Sz1,ThousandHourDc3Sz2,ThousandHourDc3Sz3,ThousandHourDc3Sz4,ThousandHourDc3Sz5,ThousandHourDc4Sz1,ThousandHourDc4Sz2,ThousandHourDc4Sz3,ThousandHourDc4Sz4,ThousandHourDc4Sz5,ThousandHourDc5Sz1,ThousandHourDc5Sz2,ThousandHourDc5Sz3,ThousandHourDc5Sz4,ThousandHourDc5Sz5,Th_3_6_Snd,Th_6_12_Snd,Th_12_20_Snd,Th_20_35_Snd,Th_35_50_Snd,Th_GT_50_Snd,Th_3_6_Rot,Th_6_12_Rot,Th_12_20_Rot,Th_20_35_Rot,Th_35_50_Rot,Th_GT_50_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
103,38,03yr07,0.117840974,3.022013466,2.54441088,5.68426532,7.47455616,4.581476064,0,0,0,0,0,0,0,0,0,0,1.824556032,0,0,5.650000128,0,0.935562672,0.841376448,2.804536944,0,0,0,0,0,0,0,1.824556032,0,5.650000128,0,0,0,0.935562672,3.645913392,0,0,0,0,17.74029754,0,0,17.74029754,0.73,0,0.73,0
103,39,03yr08,0.096415342,2.081831499,3.10983552,5.288082361,5.71794048,3.854106432,0,0,0,0,0,0,0,0,0,0,1.01910528,0,0,4.6988352,0,1.596710016,0.841376448,1.416019968,0,0,0,0,0,0,0,1.01910528,0,4.6988352,0,0,0,1.596710016,2.257396416,0,0,0,0,14.86012927,0,0,14.86012927,0.78,0,0.78,0
103,40,03yr09,0.667765518,2.484766628,4.2406848,7.393216946,2.743091712,4.127292576,0,0,0,0,0,0,0,0,0,0,0.810144,0,1.932947712,0,0,0.896843376,0,0,3.2304492,0,0,0,0,0,0,0.810144,1.932947712,0,0,0,0,0.896843376,0,3.2304492,0,0,0,14.26360123,0,0,14.26360123,0.375,0,0.375,0
104,6,Control_15yr,0.160692237,1.67889637,0.56542464,2.405013247,0,2.801924928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467704512,2.334220416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467704512,2.334220416,0,0,0,0,5.206938175,0,0,5.206938175,0.63,0,0.63,0
104,8,Control_17yr,0.192830684,1.007337822,1.97898624,3.179154746,0.9163008,3.6452988,0,0,0,0,0,0,0,0,0,0,0.9163008,0,0,0,0,0.1882188,0,1.2445488,2.2125312,0,0,0,0,0,0,0.9163008,0,0,0,0,0,0.1882188,1.2445488,2.2125312,0,0,0,7.740754346,0,0,7.740754346,0.115,0,0.115,0
104,10,Control_19yr,0.292816965,2.283299063,1.13084928,3.706965308,0.243378432,5.44758984,0,0,0,0,0,0,0,0,0,0,0.243378432,0,0,0,0,1.449515232,0.609828912,3.388245696,0,0,0,0,0,0,0,0.243378432,0,0,0,0,0,1.449515232,3.998074608,0,0,0,0,9.39793358,0,0,9.39793358,0.21,0,0.21,0
104,12,Control_21yr,0.142837544,1.477428806,0.56542464,2.18569099,4.28873472,2.40075,0,0,0,0,0,0,0,0,0,0,0.6760512,0.859087872,2.753595648,0,0,0,0,0,2.40075,0,0,0,0,0,0,0.6760512,3.61268352,0,0,0,0,0,0,2.40075,0,0,0,8.87517571,0,0,8.87517571,0.235,0,0.235,0
104,14,Control_23yr,0.642768948,2.820545902,1.13084928,4.59416413,2.904450048,0.789904368,0,0,0,0,0,0,0,0,0,0,0,0,2.904450048,0,0,0.789904368,0,0,0,0,0,0,0,0,0,0,2.904450048,0,0,0,0,0.789904368,0,0,0,0,0,8.288518546,0,0,8.288518546,0.23,0,0.23,0
105,24,02Pre,0.053564079,1.54458466,5.93695872,7.535107459,0,9.0959616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2458368,0,0,0,8.8501248,0,0,0,0,0,0,0,0,0,0,0,0.2458368,0,0,8.8501248,0,0,16.63106906,0,0,16.63106906,0.385,0,0.385,0
105,25,02Post,0.071418772,1.007337822,1.4135616,2.492318194,0,0.409728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409728,0,0,0,0,0,2.902046194,0,0,2.902046194,0.216666667,0,0.216666667,0
105,26,02yr01,0.151764891,0.671558548,0,0.823323439,8.045568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.045568,0,0,0,0,0,0,0,0,0,0,0,0,0,8.045568,0,0,0,0,0,0,0,0,0,8.868891439,0,0,8.868891439,0.6,0,0.6,0
105,27,02yr02,0.20532897,0.839448185,0,1.044777155,0.893952,0,0,0,0,0,0,0,0,0,0,0,0.893952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893952,0,0,0,0,0,0,0,0,0,0,0,1.938729155,0,0,1.938729155,0,0,0,0
105,31,03Post,0.065467208,1.007337822,0.4711872,1.54399223,0.9312,0,0,0,0,0,0,0,0,0,0,0,0.9312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9312,0,0,0,0,0,0,0,0,0,0,0,2.47519223,0,0,2.47519223,0.666666667,0,0.666666667,0
105,32,03yr01,0.221398193,1.208805386,0.84813696,2.27834054,0,3.9718008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3111372,0.6491628,0,3.0115008,0,0,0,0,0,0,0,0,0,0,0,0,0.3111372,0.6491628,3.0115008,0,0,0,6.25014134,0,0,6.25014134,0.27,0,0.27,0
105,33,03yr02,0.321384474,1.611740515,1.13084928,3.063974269,0,3.4916508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2458368,0.6491628,0,2.5966512,0,0,0,0,0,0,0,0,0,0,0,0,0.2458368,0.6491628,2.5966512,0,0,0,6.555625069,0,0,6.555625069,0.525,0,0.525,0
