Fuel Loadings = tons / acre

Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,>3_Snd,>3_Rot,3_<6_DC1,6_<9_DC1,9_<12_DC1,12_<20_DC1,>20_DC1,3_<6_DC2,6_<9_DC2,9_<12_DC2,12_<20_DC2,>20_DC2,3_<6_DC3,6_<9_DC3,9_<12_DC3,12_<20_DC3,>20_DC3,3_<6_DC4,6_<9_DC4,9_<12_DC4,12_<20_DC4,>20_DC4,3_<6_DC5,6_<9_DC5,9_<12_DC5,12_<20_DC5,>20_DC5,3_<6_Snd,6_<12_Snd,12_<20_Snd,20_<35_Snd,35_<50_Snd,50>_Snd,3_<6_Rot,6_<12_Rot,12_<20_Rot,20_<35_Rot,35_<50_Rot,50>_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
"NORRIS NORTH-003",19,"02YR11",0.158922430954022,2.43330238652781,2.4206727893659,5.01289760684773,25.1567418394663,2.03694166615746,0,0,0,0,0,0,0,0,0,0,4.48928158705027,12.6119008237028,8.05555942871323,0,0,2.03694166615746,0,0,0,0,0,0,0,0,0,4.48928158705027,20.6674602524161,0,0,0,0,2.03694166615746,0,0,0,0,0,32.2065811124715,3.094575,2.19615,37.4973061124715,0.31,0.44,0.75,0
"NORRIS NORTH-003",21,"02YR15",0.477125728795358,2.1305754296757,3.02774550537341,5.63544666384447,15.0048843528027,17.3519831777869,0,0,0,0,0,0,0,0,0,0,1.16545409175995,8.40758581795625,5.43184444308655,0,0,3.69851946550736,7.73792281582345,5.9155408964561,0,0,0,0,0,0,0,1.16545409175995,13.8394302610428,0,0,0,0,3.69851946550736,13.6534637122795,0,0,0,0,37.9923141944341,5.78985,5.36559375,49.1477579444341,0.58,1.075,1.655,0
"NORRIS NORTH-006",1,"01POST",0.132225136583755,0.140592584520622,0,0.272817721104377,1.6038772337108,7.81011548197167,0,0,0,0,0,0,0,0,0,0,1.6038772337108,0,0,0,0,0,0,7.81011548197167,0,0,0,0,0,0,0,1.6038772337108,0,0,0,0,0,0,7.81011548197167,0,0,0,0,9.68681043678684,16.457336671875,1.47379134375,27.6179384524118,1.64861875,0.295275,1.94389375,0
"NORRIS NORTH-006",16,"02YR06",0.0794810703573782,0.608477598232644,7.26383292007827,7.9517915886683,2.09148453322762,2.68585742062148,0,0,0,0,0,0,0,0,0,0,2.09148453322762,0,0,0,0,0,2.68585742062148,0,0,0,0,0,0,0,0,2.09148453322762,0,0,0,0,0,0,2.68585742062148,0,0,0,0,12.7291335425174,4.99125,3.693525,21.4139085425174,0.5,0.74,1.24,0
"NORRIS NORTH-006",19,"02YR11",0.0317781312,0.912305952,4.8403776,5.7844616832,0,5.1486048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1978648,2.95074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1978648,2.95074,0,0,0,0,10.9330664832,4.891425,2.9448375,18.7693289832,0.49,0.59,1.08,0
"NORRIS NORTH-006",21,"02YR15",0.112201126347108,0.763657076863505,2.426957717635,3.30281592084561,2.0281536,8.36238754083593,0,0,0,0,0,0,0,0,0,0,0,2.0281536,0,0,0,3.5767331493543,4.78565439148163,0,0,0,0,0,0,0,0,0,2.0281536,0,0,0,0,3.5767331493543,4.78565439148163,0,0,0,0,13.6933570616815,4.2425625,3.8432625,21.7791820616816,0.425,0.77,1.195,0
"NORTHEAST-001",0,"00PRE",0.101785298467719,0,1.10740863990423,1.20919393837195,7.95681766242897,10.6474812686215,0,0,0,0,0,0,0,0,0,0,7.95681766242897,0,0,0,0,2.2016821942807,0,8.44579907434076,0,0,0,0,0,0,0,7.95681766242897,0,0,0,0,0,2.2016821942807,8.44579907434076,0,0,0,0,19.8134928694224,7.8602205,13.1003675,40.7740808694224,0.7874,2.62466666666667,3.41206666666667,0
"NORTHEAST-001",1,"01POST",0.290815138479198,0.83488981808432,1.10740863990423,2.23311359646775,13.9550679227531,0,0,0,0,0,0,0,0,0,0,0,13.9550679227531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9550679227531,0,0,0,0,0,0,0,0,0,0,0,16.1881815192208,7.36895671875,5.5267175390625,29.0838557770333,0.7381875,1.10728125,1.84546875,0
"NORTHEAST-001",15,"02YR05",0.111673005714062,0.91599333920617,2.42997079604866,3.45763714096889,9.3421578276715,25.6093584385802,0,0,0,0,0,0,0,0,0,0,1.08081809935831,0,8.26133972831319,0,0,2.83925117926155,2.52440213517945,9.11309170799781,11.1326134161414,0,0,0,0,0,0,1.08081809935831,8.26133972831319,0,0,0,0,2.83925117926155,11.6374938431773,11.1326134161414,0,0,0,38.4091534072206,0.59895,4.0429125,43.0510159072206,0.06,0.81,0.87,0
"NORTHEAST-001",25,"03YR05",0.255493012825329,0,0,0.255493012825329,8.62474215480217,19.4316395308999,0,0,0,0,0,0,0,0,0,0,0,0,8.62474215480217,0,0,0,2.78577487080158,0,16.6458646600983,0,0,0,0,0,0,0,8.62474215480217,0,0,0,0,0,2.78577487080158,16.6458646600983,0,0,0,28.3118746985274,8.18565,1.39755,37.8950746985274,0.82,0.28,1.1,0
