Fuel Loadings = tons / acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,ThSound,ThRotten,ThousandHourDc1Sz1,ThousandHourDc1Sz2,ThousandHourDc1Sz3,ThousandHourDc1Sz4,ThousandHourDc1Sz5,ThousandHourDc2Sz1,ThousandHourDc2Sz2,ThousandHourDc2Sz3,ThousandHourDc2Sz4,ThousandHourDc2Sz5,ThousandHourDc3Sz1,ThousandHourDc3Sz2,ThousandHourDc3Sz3,ThousandHourDc3Sz4,ThousandHourDc3Sz5,ThousandHourDc4Sz1,ThousandHourDc4Sz2,ThousandHourDc4Sz3,ThousandHourDc4Sz4,ThousandHourDc4Sz5,ThousandHourDc5Sz1,ThousandHourDc5Sz2,ThousandHourDc5Sz3,ThousandHourDc5Sz4,ThousandHourDc5Sz5,Th_3_6_Snd,Th_6_12_Snd,Th_12_20_Snd,Th_20_35_Snd,Th_35_50_Snd,Th_GT_50_Snd,Th_3_6_Rot,Th_6_12_Rot,Th_12_20_Rot,Th_20_35_Rot,Th_35_50_Rot,Th_GT_50_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
PIAB 03,9,01Year5,0.446835846,1.38552204,4.749303438,6.581661324,10.69440811,2.121496064,0,0,0,0,0,0,0,0,0,0,2.102800125,6.63230888,1.959299105,0,0,0.707165355,0,1.414330709,0,0,0,0,0,0,0,2.102800125,8.591607985,0,0,0,0,0.707165355,1.414330709,0,0,0,0,19.3975655,0.9261945,1.22031525,21.54407525,0.0525,0.2825,0.335,0
PIAB 03,10,01Year10,0.162485762,2.482393655,3.561977578,6.206856996,23.35115468,4.958887918,0,0,0,0,0,0,0,0,0,0,2.623832574,3.706928777,8.135704592,8.884688738,0,1.056382814,1.593304657,2.309200448,0,0,0,0,0,0,0,2.623832574,11.84263337,8.884688738,0,0,0,1.056382814,3.902505105,0,0,0,0,34.51689959,1.940598,0.8855385,37.34303609,0.11,0.205,0.315,0
PIAB 03,13,02Post,0.040621441,0.46184068,1.780988789,2.28345091,15.77751387,3.688609417,0,0,0,0,0,0,0,0,0,0,2.447767029,3.983727271,4.130267648,5.215751918,0,0,0.737721883,0,2.950887533,0,0,0,0,0,0,2.447767029,8.113994919,5.215751918,0,0,0,0,0.737721883,2.950887533,0,0,0,21.74957419,3.263733,1.0583265,26.07163369,0.185,0.245,0.43,0
PIAB 03,14,02Year1,0.155715522,0.981411445,1.484157324,2.621284291,5.687937576,6.434331692,0,0,0,0,0,0,0,0,0,0,2.643154198,3.044783378,0,0,0,0.279373968,1.117495871,2.309200451,2.728261403,0,0,0,0,0,0,2.643154198,3.044783378,0,0,0,0,0.279373968,3.426696322,2.728261403,0,0,0,14.74355356,1.058508,0.8423415,16.64440306,0.06,0.195,0.255,0
PIAB 03,15,02Year2,0.02031072,0.92368136,1.780988789,2.72498087,14.94169098,3.631861579,0,0,0,0,0,0,0,0,0,0,3.327009288,3.527823878,4.130267648,3.956590165,0,0,1.117495871,0,2.514365709,0,0,0,0,0,0,3.327009288,7.658091526,3.956590165,0,0,0,0,1.117495871,2.514365709,0,0,0,21.29853343,1.1026125,1.93306575,24.33421168,0.0625,0.4475,0.51,0
PIAB 03,16,02Year5,0.081242881,0.288650425,1.780988789,2.150882095,14.32839237,8.119305935,0,0,0,0,0,0,0,0,0,0,1.92673458,0,1.959299108,10.44235868,0,1.06947847,2.21316565,1.414330711,3.422331104,0,0,0,0,0,0,1.92673458,1.959299108,10.44235868,0,0,0,1.06947847,3.627496361,3.422331104,0,0,0,24.5985804,5.0720175,2.10585375,31.77645165,0.2875,0.4875,0.775,0
PIAB 04,0,PR01,0.28575401,1.102287217,2.982970158,4.371011385,7.897708011,4.408704555,0,0,0,0,0,0,0,0,0,0,0.545421824,0,1.76716671,5.585119477,0,0.280753325,1.601171306,0,2.526779924,0,0,0,0,0,0,0.545421824,1.76716671,5.585119477,0,0,0,0.280753325,1.601171306,2.526779924,0,0,0,16.67742395,15.348366,7.09510725,39.1208972,0.87,1.6425,2.5125,0
PIAB 04,5,Pre,0.190502673,1.508393034,2.386376126,4.085271834,3.768864803,3.43922823,0,0,0,0,0,0,0,0,0,0,0.976305065,2.792559739,0,0,0,0,0,0,3.43922823,0,0,0,0,0,0,0.976305065,2.792559739,0,0,0,0,0,0,3.43922823,0,0,0,11.29336487,20.552697,3.03458925,34.88065112,1.165,0.7025,1.8675,0
PIAB 04,6,01Post,0.047625668,0.116030233,0.596594032,0.760249933,2.192595732,1.267776733,0,0,0,0,0,0,0,0,0,0,0.616326661,1.576269071,0,0,0,0,1.267776733,0,0,0,0,0,0,0,0,0.616326661,1.576269071,0,0,0,0,0,1.267776733,0,0,0,0,4.220622398,1.2790305,0.57236025,6.072013148,0.0725,0.1325,0.205,0
PIAB 04,7,01Year1,0.17689534,0.17404535,0.894891047,1.245831737,1.685353436,1.1230133,0,0,0,0,0,0,0,0,0,0,0.616326661,1.069026775,0,0,0,0,1.1230133,0,0,0,0,0,0,0,0,0.616326661,1.069026775,0,0,0,0,0,1.1230133,0,0,0,0,4.054198473,1.8964935,0.734349,6.685040973,0.1075,0.17,0.2775,0
